站号,水线0,水线1,水线2,水线3,水线4,水线5,水线6,水线7,水线8,水线9,水线10
-5,0.00,0.50,1.00,1.50,2.00,2.50,3.00,3.50,4.00,4.50,5.00
-4,1.85,2.50,3.20,4.00,4.80,5.50,6.20,6.80,7.30,7.70,7.90
-3,4.62,5.50,6.30,7.00,7.60,8.10,8.50,8.80,9.00,9.10,9.15
-2,6.48,7.30,8.00,8.60,9.10,9.50,9.80,10.00,10.10,10.15,10.18
-1,7.35,8.10,8.70,9.20,9.60,9.90,10.10,10.25,10.35,10.40,10.42
0,7.60,8.30,8.90,9.40,9.80,10.10,10.30,10.45,10.55,10.60,10.62
1,7.35,8.10,8.70,9.20,9.60,9.90,10.10,10.25,10.35,10.40,10.42
2,6.48,7.30,8.00,8.60,9.10,9.50,9.80,10.00,10.10,10.15,10.18
3,4.62,5.50,6.30,7.00,7.60,8.10,8.50,8.80,9.00,9.10,9.15
4,1.85,2.50,3.20,4.00,4.80,5.50,6.20,6.80,7.30,7.70,7.90
5,0.00,0.50,1.00,1.50,2.00,2.50,3.00,3.50,4.00,4.50,5.00
